state,enrollment_age_6_14_pct,not_in_school_age_6_14_pct,std3_read_std2_text_pct,access_capability_wedge_pp,govt_school_share_pct,private_school_share_pct,other_school_share_pct,source_pdf_page_index,source_url
Andhra Pradesh,99.9,0.1,15.7,84.2,61.8,37.9,0.1,79,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Arunachal Pradesh,97.2,2.8,19.4,77.8,56.3,39.3,1.6,85,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Assam,99.1,0.9,18.2,80.9,69.9,28.4,0.9,91,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Bihar,97.0,3.0,26.1,70.9,80.1,15.7,1.3,97,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Chhattisgarh,98.2,1.8,24.9,73.3,80.6,17.5,0.0,103,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Gujarat,99.0,1.0,25.8,73.2,86.5,12.4,0.1,111,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Haryana,98.7,1.3,44.0,54.7,46.0,52.3,0.5,117,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Himachal Pradesh,99.6,0.4,50.6,49.0,58.6,41.0,0.0,123,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Jammu and Kashmir,99.4,0.6,16.6,82.8,57.2,41.7,0.4,129,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Jharkhand,98.5,1.5,19.6,78.9,77.4,20.3,0.8,135,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Karnataka,99.7,0.3,15.9,83.8,71.1,28.5,0.1,143,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Kerala,99.9,0.1,45.6,54.3,44.5,54.0,1.5,149,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Madhya Pradesh,97.5,2.5,18.8,78.7,66.9,30.5,0.1,155,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Maharashtra,99.6,0.4,37.0,62.6,60.9,38.5,0.3,161,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Meghalaya,95.9,4.1,19.5,76.4,38.4,57.6,0.0,167,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Mizoram,98.9,1.1,29.7,69.2,59.4,39.1,0.4,175,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Nagaland,98.6,1.4,20.4,78.2,45.5,53.0,0.0,181,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Odisha,98.9,1.1,40.0,58.9,88.6,10.3,0.0,187,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Punjab,99.5,0.5,36.5,63.0,58.0,41.3,0.1,193,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Rajasthan,97.8,2.2,18.6,79.2,59.3,38.3,0.3,199,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Sikkim,99.8,0.2,30.5,69.3,69.0,30.4,0.4,205,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Tamil Nadu,99.9,0.1,12.0,87.9,68.7,31.0,0.2,213,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Telangana,99.5,0.5,6.2,93.3,59.8,39.2,0.5,219,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Tripura,99.7,0.3,20.9,78.8,73.8,25.0,0.9,225,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Uttar Pradesh,96.1,3.9,34.3,61.8,49.1,45.5,1.5,229,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
Uttarakhand,99.2,0.8,39.4,59.8,62.8,35.4,1.0,235,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
West Bengal,99.1,0.9,36.3,62.8,89.6,8.7,0.7,241,https://asercentre.org/wp-content/uploads/2022/12/ASER_2024_Final-Report_13_2_24-1.pdf
